lon,lat,gravity
-124.375,41.835,85.29642968232119
-124.355,41.815,112.88708441904129
-124.255,41.785,754.0367455076139
-124.295,41.775,297.85496817735157
-124.255,41.775,818.1161958595444
-124.245,41.775,1193.6386657869784
-124.245,41.765,1292.295392601625
-124.235,41.765,2486.0818342005064
-124.245,41.755,1134.7836908260779
-124.235,41.755,1876.0564244044153
-124.225,41.755,3475.9661369432265
-124.215,41.755,6416.257206604041
-124.215,41.745,3091.588939816621
-124.205,41.745,5381.55901019513
-124.145,41.705,299.5618761675672
-124.145,41.685,196.93703322721467
-124.105,41.595,76.32712942603698
-124.105,41.585,72.75890793016126
-124.125,41.575,61.41957909907824
-124.145,41.145,113.80729434707867
-124.185,41.135,105.77913199349364
-124.165,41.125,118.30698999467272
-124.185,41.105,126.68374638547029
-124.165,41.105,133.89465319629346
-124.165,41.095,145.77630236593907
-124.175,41.065,181.8939909268367
-124.165,41.065,188.56307734732957
-124.155,41.065,195.14987822275756
-124.165,41.055,208.63784319882075
-124.155,41.055,217.09957876321027
-124.145,41.055,225.4466866519065
-124.135,41.055,233.45354942800262
-124.135,41.045,268.3156414243818
-124.125,41.045,279.0086638316187
-124.125,41.035,329.3246684683969
-124.395,40.505,91.4757476097956
-124.425,40.445,60.874247506135255
-124.395,40.395,60.85668501009126
-124.385,40.395,66.26557601040074
-124.375,40.355,54.82627522665417
-124.365,40.345,53.007209944875854
-124.365,40.335,49.359139256194034
-124.355,40.335,54.11806326042901
-124.365,40.325,43.263230942681176
-124.355,40.325,48.21582491471919
-124.365,40.315,40.53573791244221
-124.355,40.315,43.34669890256082
-124.365,40.305,37.92713722482405
-124.365,40.275,29.45666775506329
-124.365,40.265,26.479628645064018
-124.335,40.235,24.42119124292874
-124.315,40.225,24.346016831394518
-124.245,40.175,21.409494368928605
-124.225,40.165,21.52925866313842
-124.215,40.165,22.147815133518232
-124.215,40.155,21.170570796449763
-124.175,40.125,19.521447836355286
-124.165,40.125,20.3562834737586
-124.155,40.125,21.29380302231081
-124.155,40.115,20.25943598093516
-124.145,40.115,21.213472964487323
