"model","residual","fitted","std_residual","species","time","MPA","source","resp"
"pooled",-0.934780620757127,0.784498417707789,-0.492200729153993,"Mesocentrotus franciscanus",5,"Naples SMCA","LTER","pooled"
"pooled",-0.4383134015817,1.03808792832093,-0.230790167303364,"Mesocentrotus franciscanus",1,"Naples SMCA","LTER","pooled"
"pooled",-0.273897998813057,0.548655489205646,-0.144218645247924,"Strongylocentrotus purpuratus",1,"Naples SMCA","LTER","pooled"
"pooled",-0.355792586844556,0.974690550667647,-0.187339539121635,"Mesocentrotus franciscanus",2,"Naples SMCA","LTER","pooled"
"pooled",-0.966434603205726,0.468779343794127,-0.508867862485458,"Strongylocentrotus purpuratus",2,"Naples SMCA","LTER","pooled"
"pooled",-0.205872612804215,0.911293173014361,-0.108400460904933,"Mesocentrotus franciscanus",3,"Naples SMCA","LTER","pooled"
"pooled",-0.329665782834216,0.388903198382608,-0.173582694254721,"Strongylocentrotus purpuratus",3,"Naples SMCA","LTER","pooled"
"pooled",1.52682426031109,0.847895795361075,0.803936236511237,"Mesocentrotus franciscanus",4,"Naples SMCA","LTER","pooled"
"pooled",-0.429680235648282,0.309027052971088,-0.226244447727049,"Strongylocentrotus purpuratus",4,"Naples SMCA","LTER","pooled"
"pooled",-0.727757702355274,0.784498417707789,-0.383194584689372,"Mesocentrotus franciscanus",5,"Naples SMCA","LTER","pooled"
"pooled",-0.872444207005948,0.229150907559569,-0.459378024425344,"Strongylocentrotus purpuratus",5,"Naples SMCA","LTER","pooled"
"pooled",0.211004877504702,0.721101040054504,0.111102810923428,"Mesocentrotus franciscanus",6,"Naples SMCA","LTER","pooled"
"pooled",-0.0246714435665042,0.14927476214805,-0.012990537290856,"Strongylocentrotus purpuratus",6,"Naples SMCA","LTER","pooled"
"pooled",1.09951364811633,0.657703662401218,0.578939493717034,"Mesocentrotus franciscanus",7,"Naples SMCA","LTER","pooled"
"pooled",0.455866161392575,0.0693986167365312,0.240032422636578,"Strongylocentrotus purpuratus",7,"Naples SMCA","LTER","pooled"
"pooled",-0.0508782901730411,0.594306284747932,-0.0267895279012055,"Mesocentrotus franciscanus",8,"Naples SMCA","LTER","pooled"
"pooled",0.108265669487978,-0.0104775286749879,0.0570063609375718,"Strongylocentrotus purpuratus",8,"Naples SMCA","LTER","pooled"
"pooled",0.774624360379694,0.530908907094646,0.407871822043679,"Mesocentrotus franciscanus",9,"Naples SMCA","LTER","pooled"
"pooled",0.185910739142917,-0.090353674086507,0.0978897073086375,"Strongylocentrotus purpuratus",9,"Naples SMCA","LTER","pooled"
"pooled",1.14103450511978,0.467511529441361,0.600801945332305,"Mesocentrotus franciscanus",10,"Naples SMCA","LTER","pooled"
"pooled",0.599212377662206,-0.170229819498026,0.315510145005525,"Strongylocentrotus purpuratus",10,"Naples SMCA","LTER","pooled"
"pooled",1.17624819139975,0.404114151788075,0.619343410226133,"Mesocentrotus franciscanus",11,"Naples SMCA","LTER","pooled"
"pooled",0.917994014960881,-0.250105964909545,0.483361885654819,"Strongylocentrotus purpuratus",11,"Naples SMCA","LTER","pooled"
"pooled",-0.474813165243875,-0.906191966786655,-0.250008805227116,"Macrocystis pyrifera",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.915793530116234,0.199736470405166,0.482203239207752,"Mesocentrotus franciscanus",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.00282583303156,-0.0957864556365518,-0.528029352847311,"Panulirus interruptus",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-3.93743846185272,0.433488815225678,-2.07322449662381,"Semicossyphus pulcher",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.129392712820035,-0.28969596871012,0.0681306246439417,"Strongylocentrotus purpuratus",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.474813165243875,-0.906191966786655,-0.250008805227116,"Macrocystis pyrifera",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.22820789959728,0.199736470405166,0.646702349525434,"Mesocentrotus franciscanus",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.00282583303156,-0.0957864556365518,-0.528029352847311,"Panulirus interruptus",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-2.57137395277559,0.433488815225678,-1.35393493016429,"Semicossyphus pulcher",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.863835169390859,-0.28969596871012,0.454845009408377,"Strongylocentrotus purpuratus",1,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-2.91385292073385,-0.74691296136169,-1.5342642972969,"Macrocystis pyrifera",2,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.95038046119622,0.13633909275188,0.500414691519397,"Mesocentrotus franciscanus",2,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-3.99713064888364,0.00962330788899401,-2.10465490642159,"Panulirus interruptus",2,"Abalone Cove SMCA","PISCO","pooled"
