"substrate","waypoint","taxon","role","lnRR_before","lnRR_during","lnRR_after","dDB","dDB_se","dDB_p","dAB","dAB_se","dAB_p"
"THEIRS","WP1 pooled|prop|Tweedie-GLMM","Panulirus interruptus","Predator",0.7363,1.282,1.578,0.5459,0.2564,0.0332,0.8422,0.1814,3.431e-06
"THEIRS","WP2 pooled|prop|LMM-log","Panulirus interruptus","Predator",0.183,1.306,1.764,1.123,0.292,0.0001264,1.581,0.2022,1.11e-14
"THEIRS","WP0 pooled|raw|Tweedie-GLMM","Semicossyphus pulcher","Predator",0.4216,0.4022,0.3801,-0.01934,0.1083,0.8583,-0.04145,0.06901,0.5481
"THEIRS","WP1 pooled|prop|Tweedie-GLMM","Semicossyphus pulcher","Predator",-0.3946,-0.07411,0.3113,0.3205,0.3435,0.3508,0.7059,0.2554,0.005703
"THEIRS","WP2 pooled|prop|LMM-log","Semicossyphus pulcher","Predator",-0.09782,0.5858,0.7651,0.6836,0.3649,0.06124,0.8629,0.25,0.0005716
"THEIRS","WP0 pooled|raw|Tweedie-GLMM","Strongylocentrotus purpuratus","Herbivore",0.289,-0.8738,-1.482,-1.163,0.2044,1.282e-08,-1.771,0.1583,4.644e-29
"THEIRS","WP1 pooled|prop|Tweedie-GLMM","Strongylocentrotus purpuratus","Herbivore",-0.02872,-0.3277,-0.7686,-0.2989,0.1051,0.004433,-0.7399,0.07681,5.865e-22
"THEIRS","WP2 pooled|prop|LMM-log","Strongylocentrotus purpuratus","Herbivore",-0.05579,-0.2604,-1.064,-0.2047,0.243,0.3998,-1.008,0.1686,2.917e-09
"THEIRS","WP0 pooled|raw|Tweedie-GLMM","Mesocentrotus franciscanus","Herbivore",0.245,-0.6391,-0.8103,-0.8842,0.1463,1.497e-09,-1.055,0.1098,7.148e-22
"THEIRS","WP1 pooled|prop|Tweedie-GLMM","Mesocentrotus franciscanus","Herbivore",-0.02055,0.02624,-0.2842,0.04678,0.1041,0.6533,-0.2636,0.07647,0.0005662
"THEIRS","WP2 pooled|prop|LMM-log","Mesocentrotus franciscanus","Herbivore",-0.01754,-0.01495,-0.346,0.002593,0.1905,0.9891,-0.3284,0.1317,0.0128
"THEIRS","WP0 pooled|raw|Tweedie-GLMM","Macrocystis pyrifera","Producer",0.07042,0.4842,1.098,0.4138,0.1731,0.01681,1.028,0.1177,2.427e-18
"THEIRS","WP1 pooled|prop|Tweedie-GLMM","Macrocystis pyrifera","Producer",-0.1568,0.7603,1.479,0.917,0.198,3.618e-06,1.636,0.1398,1.228e-31
"THEIRS","WP2 pooled|prop|LMM-log","Macrocystis pyrifera","Producer",-0.1716,2.346,3.083,2.518,0.4223,3.24e-09,3.254,0.2913,1.033e-27
